154218,61683,191,5,499.95,99.99
18768,7485,191,5,499.95,99.99
82279,32895,191,3,299.97,99.99
57439,22945,191,5,499.95,99.99
59207,23662,191,1,99.99,99.99
66948,26730,191,2,199.98,99.99
66950,26730,191,5,499.95,99.99
88802,35559,191,2,199.98,99.99
91067,36472,235,5,174.95,34.99
87813,35158,273,1,27.99,27.99
140507,56178,365,5,299.95,59.99
127851,51157,365,2,119.98,59.99
127852,51157,365,2,119.98,59.99
127853,51157,365,1,59.99,59.99
114561,45832,365,4,239.96,59.99
123339,49339,365,2,119.98,59.99
123340,49339,365,5,299.95,59.99
144129,57617,365,4,239.96,59.99
144130,57617,365,4,239.96,59.99
145019,57963,365,2,119.98,59.99
24238,9704,365,3,179.97,59.99
24240,9704,365,1,59.99,59.99
24241,9704,365,3,179.97,59.99
19475,7787,365,3,179.97,59.99
153687,61453,403,1,129.99,129.99
154217,61683,403,1,129.99,129.99
155341,62132,403,1,129.99,129.99
91065,36472,403,1,129.99,129.99
56203,22457,403,1,129.99,129.99
65200,26052,403,1,129.99,129.99
71414,28539,403,1,129.99,129.99
103183,41333,403,1,129.99,129.99
59208,23662,502,2,100,50
59209,23662,502,1,50,50
82280,32895,502,2,100,50
82281,32895,502,5,250,50
84538,33865,502,1,50,50
66951,26730,502,3,150,50
18767,7485,502,4,200,50
24927,9977,502,3,150,50
24928,9977,502,3,150,50
155339,62132,502,2,100,50
140506,56178,502,2,100,50
140509,56178,502,3,150,50
123338,49339,502,2,100,50
145021,57963,627,5,199.95,39.99
18766,7485,627,5,199.95,39.99
19474,7787,627,5,199.95,39.99
22496,9023,627,2,79.98,39.99
22497,9023,885,1,24.99,24.99
88800,35559,897,2,49.98,24.99
24239,9704,905,5,124.95,24.99
140508,56178,957,1,299.98,299.98
140510,56178,957,1,299.98,299.98
153688,61453,957,1,299.98,299.98
153689,61453,957,1,299.98,299.98
155340,62132,957,1,299.98,299.98
155342,62132,957,1,299.98,299.98
84536,33865,957,1,299.98,299.98
91068,36472,957,1,299.98,299.98
169674,67863,1004,1,399.98,399.98
155343,62132,1004,1,399.98,399.98
87812,35158,1004,1,399.98,399.98
56202,22457,1004,1,399.98,399.98
65201,26052,1004,1,399.98,399.98
65202,26052,1004,1,399.98,399.98
66949,26730,1004,1,399.98,399.98
71413,28539,1004,1,399.98,399.98
38007,15192,1014,2,99.96,49.98
18769,7485,1014,3,149.94,49.98
19473,7787,1014,5,249.9,49.98
22495,9023,1014,2,99.96,49.98
22498,9023,1014,3,149.94,49.98
144131,57617,1014,2,99.96,49.98
145022,57963,1014,2,99.96,49.98
145023,57963,1014,3,149.94,49.98
65203,26052,1014,4,199.92,49.98
88801,35559,1014,5,249.9,49.98
91064,36472,1014,2,99.96,49.98
91066,36472,1014,4,199.92,49.98
56200,22457,1014,2,99.96,49.98
56201,22457,1014,2,99.96,49.98
153690,61453,1073,1,199.99,199.99
144132,57617,1073,1,199.99,199.99
145020,57963,1073,1,199.99,199.99
84537,33865,1073,1,199.99,199.99
56204,22457,1073,1,199.99,199.99
